Reference,Administrative divisions,Location,Epidemiological unit,Number of outbreaks,Start Date,End Date,State,Report,,State,Count of State
ob_150996,Sepang,LOT 3336 SG BELANKAN (S443),Farm,1,28/1/2025,,Selangor,EVENT 4158,,Johor,7
ob_150997,Sepang,LOT 3330 SUNGAI BELANKAN (S445),Farm,1,4/2/2025,,Selangor,,,Kedah,1
ob_150998,Kuala Langat,"NO.4,LORONG KUIL KG.TUMBUK (SE20)",Farm,1,5/2/2025,,Selangor,,,Kelantan,1
ob_151002,Sepang,LOT 1871 LDG TUMBUK 42800 TG SEPAT (SE50),Farm,1,7/2/2025,,Selangor,,,Melaka,32
ob_151003,Kuala Langat,LOT 1871 LDG TUMBUK (S130),Farm,1,7/2/2025,,Selangor,,,Negeri Sembilan,5
ob_148856,Gombak,Rawang,Forest,1,6/8/2024,10/12/2024,Selangor,,,Pahang,12
ob_127581,Kuala Muda,"No.78, Kg. Panjang, Gurun Kedah",Farm,1,31/10/2023,1/2/2024,Kedah,,,Perak,22
ob_127580,Kinta,"Km. 26, Jalan Bota, Tronoh",Farm,1,27/10/2023,30/1/2024,Perak,,,Pulau Pinang,17
ob_127582,Batang Padang,"Around Tapah and Bidor, Perak",Forest,1,6/7/2023,7/10/2023,Perak,,,Selangor,6
ob_122246,Pontian,"Lot 1961, Bt. 24 1/2, Jalan Johor",Farm,1,19/4/2023,20/7/2023,Johor,,,Terengganu,7
ob_122247,Pontian,"LOT 3898, 5855, 5856, 5857, 5864, 5865, Jeram Batu",Farm,1,19/4/2023,20/7/2023,Johor,,,,
MVZT 0007/2022 (ob_97641),Alor Gajah,"Lot 2231, Paya Mengkuang, Sg Br Ilir,Masjid Tanah, Alor Gajah, Melaka",Farm,1,1/1/2022,15/4/2022,Melaka,,,,
MVZT 0060/ 2022 (ob_97645),Alor Gajah,"Lot 2859, Paya Mengkuang, Sg Br Ilir,Masjid Tanah, Alor Gajah, Melaka",Farm,1,6/1/2022,18/4/2022,Melaka,,,,
MVZT 0112/ 2022 (ob_97649),Alor Gajah,"Lot 2848, Paya Mengkuang, Sg Br Ilir,Masjid Tanah, Alor Gajah, Melaka",Farm,1,14/1/2022,19/4/2022,Melaka,,,,
MVZT 3271/ 2021 (ob_94424),Alor Gajah,"Lot 2979, Paya Mengkuang, Sg Br Ilir,Masjid Tanah, Alor Gajah, Melaka",Farm,1,14/12/2021,11/4/2022,Melaka,,,,
