reportId,reportNumber,reportReference,reportTypeNumber,oieReference,newOutbreaks,totalOutbreaks,openOutbreaks,reportingDate,,Report,Disease Type
172305,FUR_17,N/A,FUR,FUR_172305,5,110,8,12/3/2025,,EVENT 4158,African swine fever virus
171943,FUR_16,N/A,FUR,FUR_171943,1,105,3,2/2/2025,,EVENT 4158,African swine fever virus
165753,FUR_15,N/A,FUR,FUR_165753,2,104,3,14/2/2024,,EVENT 4158,African swine fever virus
164937,FUR_14,N/A,FUR,FUR_164937,0,104,5,9/1/2024,,EVENT 4158,African swine fever virus
164633,FUR_13,N/A,FUR,FUR_164633,0,104,5,26/12/2023,,EVENT 4158,African swine fever virus
164395,FUR_12,N/A,FUR,FUR_164395,0,104,5,13/12/2023,,EVENT 4158,African swine fever virus
164176,FUR_11,N/A,FUR,FUR_164176,0,104,5,1/12/2023,,EVENT 4158,African swine fever virus
163952,FUR_10,N/A,FUR,FUR_163952,3,104,5,22/11/2023,,EVENT 4158,African swine fever virus
161933,FUR_9,N/A,FUR,FUR_161933,2,101,3,21/7/2023,,EVENT 4158,African swine fever virus
160379,FUR_8,N/A,FUR,FUR_160379,48,99,3,18/5/2023,,EVENT 4158,African swine fever virus
160148,FUR_7,N/A,FUR,FUR_160148,9,99,45,31/3/2023,,EVENT 4158,African swine fever virus
159270,FUR_6,N/A,FUR,FUR_159270,17,90,36,15/2/2023,,EVENT 4158,African swine fever virus
158644,FUR_5,N/A,FUR,FUR_158644,13,75,21,9/1/2023,,EVENT 4158,African swine fever virus
156991,FUR_4,N/A,FUR,FUR_156991,3,62,9,1/11/2022,,EVENT 4158,African swine fever virus
156292,FUR_3,N/A,FUR,FUR_156292,7,59,6,10/8/2022,,EVENT 4158,African swine fever virus
154154,FUR_2,N/A,FUR,FUR_154154,52,52,12,26/4/2022,,EVENT 4158,African swine fever virus
153101,FUR_1,N/A,FUR,FUR_153101,20,20,20,3/1/2022,,EVENT 4158,African swine fever virus
152831,IN,ASF 2021,IN,IN_152831,4,4,4,13/12/2021,,EVENT 4158,African swine fever virus
172963,IN,N/A,IN,IN_172963,1,1,1,12/3/2025,,EVENT 6326,African swine fever virus
161934,FUR_29,N/A,FUR,FUR_161934,0,75,0,21/7/2023,,EVENT 3573,African swine fever virus
160381,FUR_28,N/A,FUR,FUR_160381,2,75,0,18/5/2023,,EVENT 3573,African swine fever virus
160147,FUR_27,N/A,FUR,FUR_160147,0,75,2,28/3/2023,,EVENT 3573,African swine fever virus
159269,FUR_26,N/A,FUR,FUR_159269,0,75,2,13/2/2023,,EVENT 3573,African swine fever virus
158645,FUR_25,N/A,FUR,FUR_158645,2,75,2,9/1/2023,,EVENT 3573,African swine fever virus
157695,FUR_24,N/A,FUR,FUR_157695,4,73,0,2/11/2022,,EVENT 3573,African swine fever virus
156552,FUR_23,N/A,FUR,FUR_156552,0,69,0,10/8/2022,,EVENT 3573,African swine fever virus
155140,FUR_22,N/A,FUR,FUR_155140,7,69,0,27/4/2022,,EVENT 3573,African swine fever virus
154151,FUR_21,N/A,FUR,FUR_154151,4,63,63,17/2/2022,,EVENT 3573,African swine fever virus
153912,FUR_20,N/A,FUR,FUR_153912,34,59,59,8/2/2022,,EVENT 3573,African swine fever virus
153277,FUR_19,N/A,FUR,FUR_153277,0,52,52,4/1/2022,,EVENT 3573,African swine fever virus
153099,FUR_18,N/A,FUR,FUR_153099,0,52,52,23/12/2021,,EVENT 3573,African swine fever virus
152607,FUR_17,N/A,FUR,FUR_152607,6,52,52,25/11/2021,,EVENT 3573,African swine fever virus
151698,FUR_16,N/A,FUR,FUR_151698,0,46,46,17/9/2021,,EVENT 3573,African swine fever virus
151516,FUR_15,N/A,FUR,FUR_151516,13,46,46,6/9/2021,,EVENT 3573,African swine fever virus
151164,FUR_14,N/A,FUR,FUR_151164,0,33,33,15/8/2021,,EVENT 3573,African swine fever virus
151047,FUR_13,N/A,FUR,FUR_151047,0,33,33,8/8/2021,,EVENT 3573,African swine fever virus
150755,FUR_12,N/A,FUR,FUR_150755,0,33,33,18/7/2021,,EVENT 3573,African swine fever virus
150675,FUR_11,N/A,FUR,FUR_150675,0,33,33,11/7/2021,,EVENT 3573,African swine fever virus
150466,FUR_10,N/A,FUR,FUR_150466,1,33,33,27/6/2021,,EVENT 3573,African swine fever virus
150311,FUR_9,N/A,FUR,FUR_150311,2,32,32,15/6/2021,,EVENT 3573,African swine fever virus
150155,FUR_8,N/A,FUR,FUR_150155,0,30,30,3/6/2021,,EVENT 3573,African swine fever virus
150066,FUR_7,N/A,FUR,FUR_150066,0,30,30,27/5/2021,,EVENT 3573,African swine fever virus
149933,FUR_6,N/A,FUR,FUR_149933,1,30,30,17/5/2021,,EVENT 3573,African swine fever virus
149842,FUR_5,N/A,FUR,FUR_149842,0,29,29,10/5/2021,,EVENT 3573,African swine fever virus
149653,FUR_4,N/A,FUR,FUR_149653,4,29,29,26/4/2021,,EVENT 3573,African swine fever virus
149444,FUR_3,N/A,FUR,FUR_149444,9,25,25,9/4/2021,,EVENT 3573,African swine fever virus
149191,FUR_2,N/A,FUR,FUR_149191,0,16,16,22/3/2021,,EVENT 3573,African swine fever virus
149085,FUR_1,N/A,FUR,FUR_149085,11,16,16,18/3/2021,,EVENT 3573,African swine fever virus
149029,IN,N/A,IN,IN_149029,5,5,5,5/3/2021,,EVENT 3573,African swine fever virus
158638,FUR_9,N/A,FUR,FUR_158638,3,322,0,8/1/2023,,EVENT 3770,Lumpy skin disease virus
156551,FUR_8,N/A,FUR,FUR_156551,0,319,0,10/8/2022,,EVENT 3770,Lumpy skin disease virus
155664,FUR_7,N/A,FUR,FUR_155664,311,319,0,9/6/2022,,EVENT 3770,Lumpy skin disease virus
153275,FUR_6,N/A,FUR,FUR_153275,16,311,311,4/1/2022,,EVENT 3770,Lumpy skin disease virus
152490,FUR_5,N/A,FUR,FUR_152490,105,295,295,2/12/2021,,EVENT 3770,Lumpy skin disease virus
151700,FUR_4,N/A,FUR,FUR_151700,16,190,190,17/9/2021,,EVENT 3770,Lumpy skin disease virus
151522,FUR_3,N/A,FUR,FUR_151522,41,174,174,7/9/2021,,EVENT 3770,Lumpy skin disease virus
151049,FUR_2,N/A,FUR,FUR_151049,80,133,133,15/8/2021,,EVENT 3770,Lumpy skin disease virus
150677,FUR_1,N/A,FUR,FUR_150677,30,53,53,12/7/2021,,EVENT 3770,Lumpy skin disease virus
150376,IN,LSDMsia1,IN,FUR_150376,23,23,23,21/6/2021,,EVENT 3770,Lumpy skin disease virus
156553,FUR_100,N/A,FUR,FUR_156553,11,827,0,10/8/2022,,EVENT 2313,Rabies virus
155159,FUR_99,N/A,FUR,FUR_155159,48,821,12,28/4/2022,,EVENT 2313,Rabies virus
154152,FUR_98,N/A,FUR,FUR_154152,6,810,677,17/2/2022,,EVENT 2313,Rabies virus
153741,FUR_97,N/A,FUR,FUR_153741,2,804,671,28/1/2022,,EVENT 2313,Rabies virus
153303,FUR_96,N/A,FUR,FUR_153303,2,802,669,5/1/2022,,EVENT 2313,Rabies virus
153100,FUR_95,N/A,FUR,FUR_153100,5,800,667,23/12/2021,,EVENT 2313,Rabies virus
152680,FUR_94,N/A,FUR,FUR_152680,13,795,662,1/12/2021,,EVENT 2313,Rabies virus
151699,FUR_93,N/A,FUR,FUR_151699,2,786,657,17/9/2021,,EVENT 2313,Rabies virus
151521,FUR_92,N/A,FUR,FUR_151521,1,784,655,6/9/2021,,EVENT 2313,Rabies virus
151165,FUR_91,N/A,FUR,FUR_151165,0,783,654,15/8/2021,,EVENT 2313,Rabies virus
151048,FUR_90,N/A,FUR,FUR_151048,3,783,654,8/8/2021,,EVENT 2313,Rabies virus
150754,FUR_89,N/A,FUR,FUR_150754,1,780,651,18/7/2021,,EVENT 2313,Rabies virus
150676,FUR_88,N/A,FUR,FUR_150676,3,779,650,11/7/2021,,EVENT 2313,Rabies virus
150467,FUR_87,N/A,FUR,FUR_150467,9,776,647,27/6/2021,,EVENT 2313,Rabies virus
150312,FUR_86,N/A,FUR,FUR_150312,5,767,638,15/6/2021,,EVENT 2313,Rabies virus
