State,Count of State,Report,Disease Type
Johor,7,EVENT 4158,African swine fever virus
Kedah,1,EVENT 4158,African swine fever virus
Kelantan,1,EVENT 4158,African swine fever virus
Melaka,32,EVENT 4158,African swine fever virus
Negeri Sembilan,5,EVENT 4158,African swine fever virus
Pahang,12,EVENT 4158,African swine fever virus
Perak,22,EVENT 4158,African swine fever virus
Pulau Pinang,17,EVENT 4158,African swine fever virus
Selangor,6,EVENT 4158,African swine fever virus
Terengganu,7,EVENT 4158,African swine fever virus
Sabah,1,EVENT 6326,African swine fever virus
Sabah,73,EVENT 3573,African swine fever virus
Sarawak,2,EVENT 3573,African swine fever virus
Johor,15,EVENT 3770,Lumpy skin disease virus
Kedah,18,EVENT 3770,Lumpy skin disease virus
Kelantan,24,EVENT 3770,Lumpy skin disease virus
Melaka,38,EVENT 3770,Lumpy skin disease virus
Negeri Sembilan,31,EVENT 3770,Lumpy skin disease virus
Pahang,34,EVENT 3770,Lumpy skin disease virus
Perak,81,EVENT 3770,Lumpy skin disease virus
Perlis,25,EVENT 3770,Lumpy skin disease virus
Pulau Pinang,9,EVENT 3770,Lumpy skin disease virus
Selangor,35,EVENT 3770,Lumpy skin disease virus
Terengganu,12,EVENT 3770,Lumpy skin disease virus
Terengganu,1,EVENT 3291,African horse sickness virus
Sabah,7,EVENT 2628,Highly pathogenic avian influenza virus
Melaka,1,EVENT 2665,Infectious myonecrosis virus
Negeri Sembilan,1,EVENT 2364,Tilapia lake virus
Sarawak,1,EVENT 2364,Tilapia lake virus
Kedah,1,EVENT 2364,Tilapia lake virus
Perlis,1,EVENT 2364,Tilapia lake virus
Kelantan,36,EVENT 2225,Highly pathogenic avian influenza virus
Kedah,1,Event 2313,Rabies virus
Perak,3,Event 2313,Rabies virus
Perlis,2,Event 2313,Rabies virus
Sarawak,821,Event 2313,Rabies virus
Perak ,1,EVENT 1825,Influenza A virus
Kuala Lumpur,1,EVENT 1825,Influenza A virus
Pulau Pinang,1,EVENT 1815,Rabies virus
Kedah,1,EVENT 1815,Rabies virus
Perlis,2,EVENT 1815,Rabies virus
Selangor,1,EVENT 250,Highly pathogenic avian influenza virus
Pulau Pinang,1,EVENT 120,Highly pathogenic avian influenza virus
Perak,3,EVENT 120,Highly pathogenic avian influenza virus
Kuala Lumpur,1,EVENT 120,Highly pathogenic avian influenza virus
